Gene,Function,Reference,Acc #,Human Gene Name,Group
BRL-1,B-cell homing receptor,"Wolf et al, 1998",NM_001716,BLR1,Immunoreceptors
CCR5,Chemokine receptor,"Liu et al, 1998",NM_000579,CCR5,Immunoreceptors
CCR7,Chemokine receptor,"Hopken et al, 2002",NM_001838,CCR7,Immunoreceptors
CXCR,Chemokine receptor,"Maxwell et al, 2007",NM_000634,IL8RA,Immunoreceptors
CXCR2,Chemokine receptor,"Maxwell et al, 2007",NM_001557,IL8RB,Immunoreceptors
CD137,TNF-like receptor,"Kim et al, 2003",NM_001561,TNFRSF9,Immunoreceptors
CD154,CD40 ligand,"Srahna et al, 2001; Schubert et al, 2002; Pham et al, 2005",NM_000074,CD40LG,Immunoreceptors
CD3gamma,T-cell marker,"Willard-Gallo et al, 2005",NM_000073,CD3G,Immunoreceptors
CD21,B-cell surface molecule,"Debnath et al, 2007",NM_001006658,CR2,Immunoreceptors
CD38,NAD to cADP ribose converting molecule,"Kang et al, 2006; Tirumurugaan et al, 2008",NM_001775,CD38,Immunoreceptors
CD40,TNF-receptor family member,"Hinz et al, 2001",NM_001250,CD40,Immunoreceptors
CD48,Antigen of stimulated lymphocytes,"Klaman & Thorley-Lawson, 1995",NM_001778,CD48,Immunoreceptors
CD83,T-cell development molecule,"McKinsey et al, 2000; Berchtold et al, 2002",NM_004233,CD83,Immunoreceptors
CD86,Dendritic cell development molecule,"Zou & Hu, 2005",NM_175862,CD86,Immunoreceptors
CD98,"Membrane receptor, survival blood cells","Yan et al, 2006",NM_001012661,SLC3A2,Immunoreceptors
CD134,TNF-like receptor,"Tone et al, 2007",NM_003327,TNFRSF4,Immunoreceptors
*F11-receptor,Ig-like receptor for platelet adhesion,"Sobocki et al, 2005",NM_016946,F11R,Immunoreceptors
FcRn,Neonatal receptor for IgG,"Liu et al, 2007",NM_004107,FCGRT,Immunoreceptors
Fc epsilon receptor II (CD23),Receptor for IgE,"Richards & Katz, 1997; Lu et al, 2006; Debnath et al, 2007",NM_002002,FCER2,Immunoreceptors
HLA-G,Human leukocyte antigen-G,"Langat et al., 2007",NM_002127,HLA-G,Immunoreceptors
*ICOS,T-cell activation factor,"Shilling et al., 2005",NM_012092,ICOS,Immunoreceptors
IL-2 receptor a-chain,IL-2 receptor subunit,"Ballard et al., 1988",NM_000417,IL2RA,Immunoreceptors
Immunoglobulin Cgamma1,IgG heavy chain,"Lin & Stavnezer, 1996",J00230,IGHG2,Immunoreceptors
Immunoglobulin gamma1,IgG heavy chain,"Dryer & Covey, 2005",J00228,IGHG1,Immunoreceptors
Immunoglobulin gamma4,IgG heavy chain,"Agresti & Vercelli, 2002",K01316,IGHG4,Immunoreceptors
Immunoglobulin e heavy chain,IgE heavy chain,"Iciek et al, 1997",J00222,IGHE,Immunoreceptors
Immunoglobulin k light chain,Antibody light chain,"Sen & Baltimore, 1986",J00241,IGKC,Immunoreceptors
Invariant Chain II,Antigen presentation,"Pessara & Koch, 1990",,,Immunoreceptors
Kinin B1 Receptor,Cardiovascular homeostasis; inflammation,"Merino et al, 2005",NM_000710,BDKRB1,Immunoreceptors
MHC class I (H-2Kb),Major histocompatibility antigen,"Israël et al, 1989a; Israël et al, 1989b",,,Immunoreceptors
MHC Class I HLA-B7,Major histocompatibility antigen,"Johnson & Pober, 1994",NM_005514,HLA-B,Immunoreceptors
b2 Microglobulin,Chaperone for MHC class I-like molecules,"Israël et al, 1989a; Israël et al, 1989b; Gobin et al, 2002",NM_004048,B2M,Immunoreceptors
Nod2,Intracellular pathogen recognition,"Gutierrez et al, 2002",NM_022162,NOD2,Immunoreceptors
Polymeric Ig receptor,Binds Ig,"Schjerven et al, 2001",AJ276452,pIgR,Immunoreceptors
PGRP-S,Peptidoglycan recognition protein-S,"Lang et al, 2007",NM_005091,PGLYRP1,Immunoreceptors
T-cell receptor b chain,T-cell receptor subunit,"Jamieson et al, 1989; McMillan & SIkes, 2008",NG_001333,TCRB,Immunoreceptors
T-cell receptor/CD3gamma,T-cell receptor subunit,"Badran et al, 2002",NM_000073,CD3G,Immunoreceptors
TLR-2,Toll-like receptor,"Wang et al, 2001; Johnson & Tapping, 2007",NM_003264,TLR2,Immunoreceptors
TLR9,Toll-like receptor,"Takeshita et al, 2004",NM_017442,TLR9,Immunoreceptors
"*TNF-Receptor, p75/80 (CD120B)",High-affinity TNF receptor,"Santee & Owen-Schaub, 1996",NM_001066,TNFRSF1B,Immunoreceptors
TREM-1,Neutrophil/monocyte Ig receptor,"Zeng et al, 2007",NM_018643,TREM1,Immunoreceptors
Complement B,Activator of alternative complement pathway,"Huang et al, 2002",NM_001710,CFB,Proteins involved in antigen presentation
Complement component 3,Component of complement pathway,"Moon et al, 1999",NM_000064,C3,Proteins involved in antigen presentation
Complement Receptor 2,Complement receptor for B-cell response to Ag,"Tolnay et al, 2002",NM_001006658,CR2,Proteins involved in antigen presentation
Proteasome Subunit LMP2,"Subunit of 26S proteasome,cysteine protease","Wright et al, 1995; Marques et al, 2004",NM_002800,PSMB9,Proteins involved in antigen presentation
Peptide Transporter TAP1,Peptide transporter for ER,"Wright et al, 1995; Marques et al, 2004",NM_000593,TAP1,Proteins involved in antigen presentation
Tapasin,MHC class I presentation and assembly,"Herrmann et al, 2003",NM_003190,TAPBP,Proteins involved in antigen presentation
CD44,Cell-surface receptor for hyaluronic acid,"Hinz et al, 2002",NP_000601,CD44,Cell adhesion molecules
DC-SIGN,Dendritic cell surface C-type lectin,"Liu et al, 2003",NM_021155,CD209,Cell adhesion molecules
"ELAM-1 (CD62E, E-selectin)","E-selectin, endothelial cell leukocyte adhesion molecule","Whelan et al, 1991; Schindler & Baichwal, 1994",NM_000450,SELE,Cell adhesion molecules
Endoglin,Endothelial cell membrane glycoprotein,"Botella et al, 2002",NM_000118,ENG,Cell adhesion molecules
Fibronectin,Extracellular attachment,"Lee et al, 2002; Norton et al, 2004",NM_002026,FN1,Cell adhesion molecules
ICAM-1,Intercellular adhesion molecule-1,"van de Stolpe et al., 1994; Bunting et al, 2007",NM_000201,CD54,Cell adhesion molecules
MadCAM-1,Mucosal addressin cell adhesion molecule,"Takeuchi & Baichwal, 1995",NM_130760,MADCAM1,Cell adhesion molecules
NCAM,Neural cell adhesion molecule,"Simpson & Morris, 2000",NM_000615,NCAM,Cell adhesion molecules
P-selectin,Platelet adhesion receptor,"Pan & McEver, 1995",NM_003005,SELP,Cell adhesion molecules
Tenascin-C,"ECM protein controls cell attachment and migration, cell growth","Mettouchi et al, 1997",NM_002160,TNC,Cell adhesion molecules
VCAM-1,Vascular cell adhesion molecule,"Iademarco et al, 1992",NM_001078,VCAM1,Cell adhesion molecules
Angiotensinogen (Angiotensin II),"Angiotensin precursor, regulates blood pressure","Brasier et al, 1990; Ron et al, 1990",NM_000029,AGT,Acute phase proteins
beta-defensin-2,Anti-microbial peptide,"Diamond et al, 2000; Tsutsumi-Ishii & Nagaoka, 2002; Kao et al, 2008",AF040153,DEFB2,Acute phase proteins
C4b binding protein,Complement binding protein,"Moffat & Tack, 1992",NM_000715,C4BPA,Acute phase proteins
Complement factor B,Complement factor,"Nonaka & Huang, 1990",NM_001710,CFB,Acute phase proteins
Complement factor C4,Activates extrinsic pathway of complement activation,"Yu et al, 1989",NM_007293,C4A,Acute phase proteins
C-reactive protein,Host defense protein,"Zhang et al, 1995; 
Agrawal et al, 2003aAgrawal et al, 2003b",NM_000567,CRP,Acute phase proteins
Hepcidin,Acute phase protein,"Liao et al, 2006",NM_021175,HAMP,Acute phase proteins
Lipopolysaccharide binding protein,Binds to LPS receptor (CD14) with LPS,"Schumann, 1995",NM_004139,LBP,Acute phase proteins
Pentraxin PTX3,Pentraxin,"Basile et al, 1997",NM_002852,PTX3,Acute phase proteins
"Serum amyloid A proteins (SAA1, SAA2, SAA3)",Serum components,"Edbrooke et al, 1991; Li & Liao, 1991; Thorn & Whitehead, 2002; Son et al, 2004",NM_000331,SAA1,Acute phase proteins
"Serum amyloid A proteins (SAA1, SAA2, SAA3)",Serum components,,NM_030754,SAA2,Acute phase proteins
"Serum amyloid A proteins (SAA1, SAA2, SAA3)",Serum components,,S73444,SAA3,Acute phase proteins
Tissue factor-1,Activates extrinsic pathway of complement activation,"Mackman et al, 1991",NM_001993,F3,Acute phase proteins
Urokinase-type plasminogen activator,Activates fibrinogen for fibrin clot lysis,"Novak et al, 1991",NM_002658,PLAU,Acute phase proteins
*CYP2E1,Cytochrome p450,"Abdel-Razak et al, 2004",NM_000773,CYP2E1,Stress response genes
CYP2C11,Cytochrome p450,"Morgan et al, 2002",X79081,CYP2C11,Stress response genes
CYP7b,Cytochrome p450,"Dulos et al, 2005",NM_004820,CYP7B1,Stress response genes
COX-2,"Cyclooxygenase, prostaglandin endoperoxide synthase","Yamamoto et al, 1995;Ackerman et al, 2008; Kaltschmidt et al, 2002",NM_000963,PTGS2,Stress response genes
Ferritin H chain,Iron storage protein,"Kwak et al, 1995",NM_002032,FTH1,Stress response genes
Glutamate-cysteine ligase,GSH biosynthesis,"Peng et al, 2010",,GCLC,Stress response genes
Glutamate-cysteine ligase modifier,GCLC modifier protein,"Peng et al, 2010",,GCLM,Stress response genes
HSP90-alpha,Heat shock protein,"Ammirante et al, 2007",NM_001017963,HSP90AA1,Stress response genes
*5-Lipoxygenase (guinea pig),"Arachidonic acid metabolic enzyme, leukotriene synthesis","Chopra et al, 1992",XM_001127464,ALOX5,Stress response genes
12-Lipoxygenase,Arachidonic acid metabolic enzyme,"Arakawa et al, 1995",NM_000697,ALOX12,Stress response genes
Inducible NO-Synthase,NO synthesis,"Geller et al, 1993",NM_000625,NOS2A,Stress response genes
*MAP4K1,Activator of stress-induced protein kinase pathway,"Carter et al, 2002",NM_001042600,MAP4K1,Stress response genes
SENP2,SUMO-specific protease,"S Miyamoto, pers commun",NC_0000013.10,SENP2,Stress response genes
Cu/Zn SOD,Superoxide dismutase,"Rojo et al, 2004",NM_000454,SOD1,Stress response genes
SOD1,Manganese uperoxide dismutase,"Das et al, 1995",NM_000454,SOD1,Stress response genes
SOD2,Manganese superoxide dismutase,"Xu et al, 1999a; 1991b; 2007a; 2007b",NM_000636,SOD2,Stress response genes
*Mx1,Viral resistance gene,"Gerardin et al, 2004",NM_002462,MX1,Stress response genes
NAD(P)H quinone oxidoreductase (DT-diaphorase),Bioreductive enzyme,"Yao & O’Dwyer, 1995",NM_000903,NQO1,Stress response genes
Phospholipase A2,Fatty acid metabolism,"Morri et al, 1994",AF058921,PLA2,Stress response genes
SEPS1,Involved in cytokine production,"Gao et al, 2006",NM_018445,SELS,Stress response genes
ABCA1,ATP-binding cassette transporter,"Gerbod-Giannone et al, 2006",NM_005502,ABCA1,Cell-surface receptors
ABCC6,"ATP-binding, multidrug resistance-associated protein 6 transporter","Jiang et al, 2005",NM_001171,ABCC6,Cell-surface receptors
A1 adenosine receptor,Pleiotropic physiological effects,"Nie et al, 1998; Jhaveri et al, 2007",NM_000674,ADORA1,Cell-surface receptors
A2A,Adenosine receptor,"Morello et al, 2006",NM_000675,ADORA2A,Cell-surface receptors
*ADAM19,Dendritic cell marker,"Ehrnsperger et al, 2005",NM_023038,ADAM19,Cell-surface receptors
Amiloride-sensitive sodium channel,Sodium channel,"Baines et al, 2002; Haddad, 2005",NM_001038,SCNN1A,Cell-surface receptors
*alpha2B-adrenergic receptor,adrenergic receptor,"Cayla et al, 2004",NM_000682,ADRA2B,Cell-surface receptors
Bradykinin B1-Receptor,Pleiotropic physiological effects,"Ni et al, 1998",NM_000710,BDKRB1,Cell-surface receptors
*CD23,Cell-surface molecule,"Tinnell et al, 1998",NM_002002,FCER2/CD23,Cell-surface receptors
CD69,Lectin mainly on activated T cells,"Lopez-Cabrera et al, 1995",NM_001781,C69,Cell-surface receptors
DOR,Delta opiod receptor,"Chen et al, 2005, 2006",NM_000911,OPRD1,Cell-surface receptors
Epidermal Growth Factor Receptor,Receptor for EGF,"Nishi et al, 2003; Thornburg & Raab-Traub, 2007",NM_005228,EGFR,Cell-surface receptors
ErbB2,EGF-like receptor,"Kitamura et al, 2005",NM_001005862,ERBB2,Cell-surface receptors
Gal1 Receptor,"Galanin receptor, neuroendocrine peptide","Lorimer et al, 1997",NM_002256,KISS1,Cell-surface receptors
Lox-1,Receptor for Oxidized low density lipoprotein,"Nagase et al, 1998",NM_002543,OLR1,Cell-surface receptors
Ly49,Receptor on NK cells,"Pascal et al, 2007",NM_006611,KLRA1,Cell-surface receptors
Mdr1,Multiple drug resistance mediator (P-glycoprotein),"Zhou & Kuo, 1997; Wang et al, 2007",NM_018849,ABCB4,Cell-surface receptors
Mu-opioid receptor,Opioid Receptor,"Kraus et al, 2003",EU360599,OPRM1,Cell-surface receptors
mGlu2,Metabotropic glutamate receptor 2,"Chiechio et al, 2006",NM_000839,GRM2,Cell-surface receptors
Neuropeptide Y-Y1 receptor,Pleiotropic physiological effects,"Musso et al, 1997",NM_000909,NPY1R,Cell-surface receptors
*NMDA receptor subunit 2A (rat),Neural receptor for N-methyl-D-aspartate,"Richter et al, 2002",NM_000833,GRIN2A,Cell-surface receptors
*NMDA receptor subunit NR-1 (GRIN1 gene),Subunit of neural receptor for N-methyl-D-aspartate,"Begni et al, 2003",NM_021569,GRIN1,Cell-surface receptors
Oxytocin receptor,Oxytocin receptor,"Terizidou et al, 2006",NM_000916,OXTR,Cell-surface receptors
PAF receptor 1,Platelet activator receptor,"Mutoh et al, 1994",NM_000952,PTAFR,Cell-surface receptors
P-gp,P-glycoprotein-Drug resistance,"Wang et al, 2007",NM_000927,ABCB1,Cell-surface receptors
RAGE- receptor for advanced glycation end products,Receptor for Advanced Glycation End products,"Li & Schmidt, 1997",NM_001136,AGER,Cell-surface receptors
ASC,Apoptosis-associated speck-like protein containing a CARD,"Sun et al, 2007",NM_013258,PYCARD,Regulators of apoptosis
Bax,Pro-apoptotic Bcl-2 homologue,"Grimm et al, 2004",NM_004324,BAX,Regulators of apoptosis
Bfl1/A1,Pro-survival Bcl-2 homologue,"Grumont et al, 1999; Zong et al, 1999",NM_004049,BCL2A1,Regulators of apoptosis
Bcl-xL,Pro-survival Bcl-2 homologue,"Chen et al, 1999; Lee et al, 1999",NM_138578,BCL2L1,Regulators of apoptosis
Bcl-2,Pro-survival factor,"Catz & Johnson, 2001",NM_000633,BCL2,Regulators of apoptosis
Bim,Pro-apoptotic Bcl-2 homolog,"Wang et al, 2008",NM_138621,BCL2L11,Regulators of apoptosis
B7-H1,Programmed cell death ligand 1,"Lee et al, 2005",NM_014143,CD274,Regulators of apoptosis
BNIP3,Hypoxia-inducible death factor,"Baetz et al, 2005; Shaw et al, 2006",NM_004052,BNIP3,Regulators of apoptosis
Caspase-11,Caspase,"Schauvliege et al, 2002",NM_001225,CASP4,Regulators of apoptosis
Nr13,Pro-survival Bcl-2 homologue,"Lee et al, 1999",,,Regulators of apoptosis
c-FLIP,Pro-survival factor,"Kreuz et al, 2001",NM_003879,CFLAR,Regulators of apoptosis
CD95 (Fas),Pro-apoptotic receptor,"Chan et al, 1999; Zhou et al, 2005; Singh et al, 2006",NM_000043,FAS,Regulators of apoptosis
CIDEA,Cell death-inducing DFFA-like effector A,"Pettersson et al, 2008",NP_001270.1; NP_938031.1,CIDEA,Regulators of apoptosis
*Fas-associated phosphatase-1,Protein phosphatase,"Irie et al, 2001",NM_006264,PTPN13,Regulators of apoptosis
Fas-Ligand,Inducer of apoptosis,"Matsui et al, 1998; Singh et al, 2006",NM_000639,FASLG,Regulators of apoptosis
IAPs,Inhibitors of Apoptosis,"You et al, 1997; Stehlik et al, 1998a, 1998b",,,Regulators of apoptosis
IEX-1L,Immediate early gene,"Wu et al, 1998",NM_052815,IER3,Regulators of apoptosis
TRAF-1,TNF-receptor associated factor,"Schwenzer et al, 1999",NM_005658,TRAF1,Regulators of apoptosis
TRAF-2,TNF-receptor associated factor,"Wang et al, 1998",NM_021138,TRAF2,Regulators of apoptosis
*TRAF-2 binding protein (Carp),TRAF2 binding protein,"Chang et al, 2005",NM_052864,TIFA,Regulators of apoptosis
XIAP,X-linked inhibitor of apoptosis,"Turner et al, 2007",NM_001167,XIAP,Regulators of apoptosis
Activin A,TGF-beta-like factor,"Alexander et al, 2007",NM_002192,INHBA,"Growth factors, ligands, and their modulators"
Angiopoietin,Tie-2 receptor ligand,"Scott et al, 2005",NM_001146,ANGPT1,"Growth factors, ligands, and their modulators"
BCAP,B-cell Adaptor for Phosphoinositide 3-kinase,"Gupta et al, 2008",NM_152309,PI3KAP1,"Growth factors, ligands, and their modulators"
BDNF,Brain-derived neurotrophic factor,"Saha et al, 2007",NM_001709,BDNF,"Growth factors, ligands, and their modulators"
BLyS,B-lymphocyte stimulator,"Fu et al, 2006",NM_006573,TNFSF13B,"Growth factors, ligands, and their modulators"
BLNK,B-cell linker,"Gupta et al, 2008",NM_013314,BLNK,"Growth factors, ligands, and their modulators"
BMP-2,Bone Morphogenic Protein-2,"Feng et al, 2003; Fukui et al, 2006",NM_001200,BMP2,"Growth factors, ligands, and their modulators"
BMP-4,Bone Morphogenic Protein-4,"Zhu et al, 2007",NM_001202,BMP4,"Growth factors, ligands, and their modulators"
CGRP,Calcitonin gene-related peptide,"Bowen et al, 2005",NM_000728,CALCB,"Growth factors, ligands, and their modulators"
FGF8,Fibroblast Growth Factor 8,"Armstrong et al, 2006",NM_006119,FGF8,"Growth factors, ligands, and their modulators"
FLRG,Follistatin-related gene,"Bartholin et al, 2007",NM_005860,FSTL3,"Growth factors, ligands, and their modulators"
G-CSF,Granulocyte Colony Stimulating Factor,"Nishizawa & Nagata, 1990",NM_000759,CSF3,"Growth factors, ligands, and their modulators"
GM-CSF,Granulocyte Macrophage Colony Stimulating Factor,"Schreck & Baeuerle, 1990; Bunting et al, 2007",NM_000758,CSF2,"Growth factors, ligands, and their modulators"
*HGF/SF,Hepatocyte growth factor/scatter factor,"Harrison & Farzaneh, 2000",NM_000601,HGF,"Growth factors, ligands, and their modulators"
EPO,Erythropoietin,"Figueroa et al, 2002",NM_000799,EPO,"Growth factors, ligands, and their modulators"
*IGFBP-1,Insulin-like growth factor binding protein-1,"Lang et al, 1999",NM_001013029,IGFBP1,"Growth factors, ligands, and their modulators"
IGFBP-2,Insulin-like growth factor binding protein-2,"Cazals et al, 1999",NM_000597,IGFBP2,"Growth factors, ligands, and their modulators"
M-CSF (CSF-1),Macrophage Colony Stimulating Factor,"Brach et al, 1991; Hohensinner et al, 2007",NM_000757,CSF1,"Growth factors, ligands, and their modulators"
Midkine (neurite growth promoting factor-2),Heparin Binding Growth Factor,"You et al, 2008",NM_001012334,MDK,"Growth factors, ligands, and their modulators"
NGF,Nerve Growth Factor,"Heese et al, 2006",NM_002506,NGFB,"Growth factors, ligands, and their modulators"
NK-1R,Neurokinin-1 Receptor,"Simeonidis et al, 2003; Ramkissoon et al, 2007",NM_015727,TACR1,"Growth factors, ligands, and their modulators"
NK4,Hepatocyte growth factor,"Zhou et al, 2003",NM_001012635,NK4,"Growth factors, ligands, and their modulators"
Nrg1,Neuregulin,"Frensing et al, 2007",NM_004495,NRG1,"Growth factors, ligands, and their modulators"
OPN,Osteopontin,"Samant et al, 2007",NM_001040058,SPP1,"Growth factors, ligands, and their modulators"
PDGF B chain,Platelet-derived Growth Factor,"Khachigian et al, 1995; Au et al, 2005",NM_002608,PDGFB,"Growth factors, ligands, and their modulators"
PlGF,Placenta Growth Factor,"Cramer et al, 2005",NM_002643,PIGF,"Growth factors, ligands, and their modulators"
